DATE 	1	7	30	90	180	270	360	720	1080	1440	1800	2160	2520	2880	3240	3600
20230228	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230227	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230224	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230223	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230222	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230221	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230220	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230217	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230216	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230215	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230214	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230213	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230210	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230209	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230208	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230207	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230203	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230202	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230201	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230131	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230130	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230127	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230126	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230125	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230124	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230123	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230120	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230119	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230118	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230117	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230116	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230113	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230112	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230111	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230110	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230109	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
20230106	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
