date	precio
20230228	21.1117
20230227	20.1623
20230224	19.8095
20230223	19.5335
20230222	19.2837
20230221	19.6985
20230220	19.776
20230217	19.3973
20230216	19.1585
20230215	19.0878
20230214	19.1197
20230213	18.9138
20230210	18.7992
20230209	18.591
20230208	18.5952
20230207	18.5715
20230203	18.5712
20230202	18.6458
20230201	18.6308
20230131	18.674
20230130	18.7653
20230127	18.7763
20230126	18.6645
20230125	18.6245
20230124	18.6797
20230123	18.9082
20230120	18.7853
20230119	18.7067
20230118	18.8022
20230117	18.9407
20230116	18.8313
20230113	18.8018
20230112	18.6883
20230111	18.7007
20230110	18.6725
20230109	18.7388
20230106	18.793
20230105	18.8077
20230104	18.812
20230103	18.8215
20230102	18.7732
20221230	18.8453
20221229	18.798
20221228	18.8852
20221227	18.827
20221226	18.8673
20221223	18.8817
20221222	18.8642
20221221	18.8727
20221220	18.8452
20221219	18.9445
20221216	18.9643
20221215	18.9385
20221214	18.9133
20221213	18.964
20221209	18.9542
20221208	18.9165
20221207	18.9702
20221206	19.0455
20221205	19.1785
20221202	19.2362
20221201	19.2302
20221130	19.3247
20221129	19.3688
20221128	19.4707
20221125	19.5678
20221124	19.5717
20221123	19.5352
20221122	19.6113
20221118	19.5607
20221117	19.5185
20221116	19.4468
20221115	19.3987
20221114	19.4138
20221111	19.48
20221110	19.3687
20221109	19.2063
20221108	19.4228
20221107	19.4543
20221104	19.2178
20221103	19.109
20221101	19.1068
20221031	19.1327
20221028	19.1953
20221027	19.2125
20221026	19.1525
20221025	19.1058
20221024	19.1948
20221021	19.1643
20221020	19.1167
20221019	19.0543
20221018	19.082
20221017	19.0878
20221014	19.1258
20221013	19.105
20221012	19.1422
20221011	19.1492
20221010	19.1602
20221007	19.2135
20221006	19.252
20221005	19.2652
20221004	19.3217
20221003	19.4764
20220930	19.5689
20220929	19.584
20220928	19.5522
20220927	19.5255
20220926	19.7368
20220923	19.7985
20220922	19.7792
20220921	19.7345
20220920	19.6808
20220919	19.6363
20220915	19.5775
20220914	19.4587
20220913	19.4459
20220912	19.4478
20220909	19.3981
20220908	19.3528
20220907	19.4262
20220906	19.3665
20220905	19.4265
20220902	19.5478
20220901	19.5354
20220831	19.5398
20220830	19.5623
20220829	19.6834
20220826	19.7806
20220825	20.0039
20220824	20.1253
20220823	20.0696
20220822	20.0988
20220819	20.0314
20220818	19.9934
20220817	19.9086
20220816	19.8402
20220815	19.7467
20220812	19.6798
20220811	19.7522
20220810	19.8153
20220809	19.5669
20220808	19.6365
20220805	19.5763
20220804	19.463
20220803	19.5803
20220802	19.4283
20220801	19.5118
20220729	19.6953
20220728	19.6291
20220727	19.5731
20220726	19.3116
20220725	19.1627
20220722	18.9929
20220721	19.0747
20220720	19.09
20220719	19.0699
20220718	19.0623
20220715	19.0894
20220714	19.1315
20220713	19.0659
20220712	19.0123
20220711	19.0108
20220708	19.0233
20220707	19.0781
20220706	18.9803
20220705	19.0307
20220704	19.1227
20220701	19.2425
20220630	19.0043
20220629	18.9116
20220628	19.0446
20220627	18.9947
